Tag,Seg_word
餐飲,Burger   King   漢堡王  -  黃金 炸雞 分享餐
美顏/造型,Burger   King   漢堡王  -  花生 安格斯 牛肉堡
餐飲,Getcha   Bistro  -   現場   300   元 折抵  -  5
餐飲,Getcha   Bistro  -   現場   300   元 折抵  -  6
美顏/造型,Royal   御瑟 髮意 質感館  -  設計 剪   +   草本 洗   +   吹風 造型  -  1
按摩,十八 男女 養生 會館   桃園 春日店  -  經 絡指 油壓   90   min ｜ 全女 按摩師  -  2
按摩,東方 量子   SPA  -  筋絡 指 油壓   120   min  -   1
按摩,東方 量子   SPA  -  筋絡 指 油壓   120   min  -   2
美顏/造型,剪 不 簡單 髮藝  -  造型 剪髮 ｜ 含 洗  -  1
美顏/造型,寶莘 親子 悠游 空間  -  寶寶 游水趣 ( 小 池 ) -  1
美顏/造型,FunNow   x   Tphone 〡 極速 網卡  -  韓國   5 - 8   天〡 4G   店取  -  1
